source,compound
Al Jazeera English,-0.2970711111111112
Ars Technica,0.2202
Associated Press,0.02493220338983054
BBC News,-0.1770762711864407
Blog.google,0.56305
Blogspot.com,-0.11638333333333332
Bloomberg,-0.387675
Business Insider,-0.011885714285714284
CNBC,0.12391910112359553
CNN,0.2589305555555556
Dailymail.co.uk,0.15014000000000002
ESPN Cric Info,0.17818055555555556
Economist.com,-0.010592307692307686
Engadget,0.24661395348837215
Entertainment Weekly,0.29579285714285714
Firstpost.com,0.11845606060606062
Fox News,-0.055281250000000004
Gizmodo.com,-0.31804166666666667
Hindustantimes.com,0.025289000000000002
Lifehacker.com,0.22094
Medical News Today,0.1534
Metro.co.uk,-0.07900101010101011
Mirror.co.uk,-0.10169404761904763
Ndtv.com,0.24224090909090917
New York Magazine,-0.044217000000000006
New York Times,-0.16470714285714286
Reuters,-0.15972755102040817
TechCrunch,0.21700377358490566
Telegraph.co.uk,-0.09770707070707074
The Hindu,-0.12129499999999997
The Irish Times,-0.1552104166666666
The Verge,0.06997
The Wall Street Journal,-0.05127878787878786
The Washington Post,-0.057030612244897964
Thejournal.ie,-0.07609899999999996
Time,-0.11103838383838387
USA Today,0.02030227272727272
Wired,-0.16320000000000004
